,Title,published_date,views,likes,comments,month
120,7 Things to Look For in a Masters For Data Science (feat. @TinaHuang1),2020-11-20,28781,873,160,Nov
121,6 Lessons from #66DaysOfData,2020-11-13,6784,338,93,Nov
122,100K Channel Update + AMA Stream!,2020-11-12,2324,126,21,Nov
123,Find a Data Science Project With These 3 Techniques,2020-11-06,17099,734,106,Nov
124,How I Chose My Masters Degree for Breaking into Data Science,2020-10-30,28370,696,155,Oct
125,git for Data Science Made Simple... (Hopefully),2020-10-23,21770,917,90,Oct
126,The PODCAST you might have asked for?,2020-10-19,2130,93,44,Oct
127,Dealing with Doubt in Data Science (My Impostor Syndrome Story),2020-10-16,6813,452,113,Oct
128,Advice from a Data Analytics CEO (@How to Get an Analytics Job) - KNN EP. 17,2020-10-14,14802,430,47,Oct
129,Data Science Resume Round-Up With @Tina Huang  | Episode 3,2020-10-12,7139,150,62,Oct
130,5 Unusual Data Science Projects that Will Land You a Job,2020-10-09,12546,584,83,Oct
131,Sh*t Data Scientists Say (Parody),2020-10-05,9764,582,144,Oct
132,5 Proven Strategies to Break into a Data Science Job,2020-10-02,8647,364,93,Oct
133,Why Data-Viz is so Darn Important (@Story by Data | Kate Strachnyi) - KNN EP. 16,2020-09-30,7108,286,61,Sep
134,Data Science Resume Round-Up With @TinaHuang1  - Episode 1,2020-09-28,12029,290,69,Sep
135,5 Essential Data Science Projects for Your Portfolio,2020-09-26,74667,3137,207,Sep
136,His Startup Will Land You a Data Science Job (Jeremie Harris) - KNN EP. 15,2020-09-23,5252,200,64,Sep
137,Reviewing Your Data Science Projects - Episode 21(The Cleanest Portfolio),2020-09-21,14399,535,60,Sep
138,"Hedge Funds, Startups, and Data Science Oh my! (@DataLeap) - KNN EP. 14",2020-09-18,7582,253,34,Sep
139,Land a Data Science Job in a Different Country (Vijay Pravin Maharajan) - KNN EP. 13,2020-09-16,5135,197,56,Sep
140,Reviewing Your Data Science Projects - Episode 20 (Bootcamp Capstone),2020-09-14,4383,156,35,Sep
141,The 5 Pillars of Success I Live By,2020-09-11,10174,871,152,Sep
142,Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,2020-09-09,1902,79,25,Sep
143,Reviewing Your Data Science Projects - Episode 19 (One Big Improvement),2020-09-07,4069,166,43,Sep
144,How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,2020-09-04,12022,745,145,Sep
145,How She Dominated the FAANG Data Science Interview  (@TinaHuang1 ) - KNN EP. 11,2020-09-02,18122,574,89,Sep
146,Reviewing Your Data Science Projects - Episode 18 (Job-Worthy GitHub),2020-08-31,18385,795,93,Aug
147,Why I'm Starting Data Science Over Again.,2020-08-29,50857,2592,448,Aug
148,Inside the Mind of the Ultimate Kaggle Grandmaster (@Abhishek Thakur ) - KNN EP. 10,2020-08-26,15459,638,78,Aug
149,Reviewing Your Data Science Projects - Episode 17 (Best Portfolio Website Yet?),2020-08-24,13695,480,55,Aug
150,Don't Buy My Course..,2020-08-21,7358,359,146,Aug
151,How a Subscriber Landed a Data Analyst Job in Less Than a Year (Ray Ojel) - KNN EP. 09,2020-08-19,29185,1106,166,Aug
152,Reviewing Your Projects - Episode 16 (Project Review for Beginners),2020-08-17,3277,127,38,Aug
153,Data Scientist Dismantles the YouTube Algorithm.,2020-08-14,6390,539,108,Aug
154,Sports Analytics & Streaming Data Science on Twitch (Nick Wan) - KNN EP. 08,2020-08-12,5115,188,39,Aug
155,Reviewing Your Data Science Projects - Episode 15 (Quant Finance),2020-08-10,13673,426,53,Aug
156,The Plagiarism Problem in Data Science,2020-08-07,13132,629,145,Aug
157,Interview with the Director of AI Research @ NVIDIA (Anima Anandkumar) - KNN EP. 07,2020-08-05,14574,603,89,Aug
158,Reviewing Your Data Science Projects - Episode 14 [Deep Learning Focus],2020-08-03,4974,186,56,Aug
159,My First Data Science Contracting Side-Gig (How I Did It),2020-07-31,11580,583,90,Jul
160,Do You Have a Data Science Mentor? (@Danny Ma) - KNN EP. 06,2020-07-30,2366,116,34,Jul
161,Reviewing Your Data Science Projects - Episode 13 (BONUS LinkedIn Review),2020-07-27,5815,253,112,Jul
162,Building a Deep Learning BEAST (NVIDIA TITAN RTX + RYZEN 3900X),2020-07-24,8329,246,199,Jul
